tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0013234,60,M,1,0,1,9164,229,226,0,229
t0008029,65,M,1,0,1,8629,216,221,0,216
t0007991,77,M,1,0,1,11482,287,268,0,287
t0014793,58,M,1,0,1,9164,229,226,0,229
t0011804,59,M,1,0,1,9404,235,232,0,235
t0016624,63,M,1,0,1,9164,229,226,0,229
t0014519,55,M,1,0,1,24943,624,512,0,624
t0007528,66,F,1,0,1,11626,291,259,0,291
t0012092,61,M,1,0,1,1200,30,344,0,50
t0007178,78,F,1,0,1,7387,185,193,0,185
t0015783,63,F,1,0,1,896,23,50,0,50
t0015286,68,M,1,0,1,14037,351,345,0,351
t0024322,54,M,1,0,1,9176,230,226,0,230
t0007536,66,F,1,0,1,9802,245,235,0,245
t0007898,86,F,1,0,1,12321,308,335,0,308
t0014197,57,F,1,0,1,9636,241,50,0,241
t0012462,69,F,1,0,1,9260,232,225,0,232
t0007774,66,F,1,0,1,12188,305,296,0,305
t0013614,67,M,1,0,1,13054,326,322,0,326
t0007895,71,M,1,0,1,9164,229,226,0,229
t0012480,57,M,1,0,1,9164,229,226,0,229
t0025447,64,M,1,0,1,14996,375,412,0,375
t0024180,61,M,1,0,1,10016,251,210,0,251
t0002055,58,F,1,0,1,1620,41,135,0,50
t0014216,67,M,1,0,1,9164,229,226,0,229
t0016186,67,F,1,0,1,9404,235,232,0,235
t0007151,67,F,1,0,1,9780,245,240,0,245
t0011052,72,F,1,0,1,11983,300,293,36,264
t0011051,81,F,1,0,1,9236,231,227,36,195
t0011783,67,F,1,0,2,9248,231,227,69,162
t0015785,56,M,1,0,1,14132,353,346,36,317
t0016908,26,F,1,0,1,1200,30,62,36,14
t0015782,56,F,1,0,1,8456,212,208,36,176
t0018800,26,F,3,2,2,0,0,50,69,-19
t0007910,41,F,1,0,1,600,15,50,36,14
t0011031,63,F,1,0,1,9404,235,232,36,199
t0011020,64,M,1,0,1,9404,235,232,36,199
t0011022,72,M,1,0,1,14203,355,344,36,319
t0012770,64,F,1,0,1,5050,126,157,36,90
t0011038,60,M,1,0,1,9164,229,226,36,193
t0016772,64,F,1,0,1,9629,241,265,36,205
t0011018,60,F,1,0,1,0,0,129,36,14
t0013099,26,F,3,2,1,0,0,352,36,14
t0011058,67,F,1,0,1,10462,262,259,36,226
