tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0016459,69,M,1,0,1,9164,229,44,13
t0011631,69,M,1,0,1,9241,231,50,6
t0007625,63,F,1,0,1,11540,289,55,31
t0037648,54,M,1,0,1,5768,144,17,0
t0037798,56,F,1,0,1,9164,229,18,0
t0013428,80,M,1,0,1,8156,204,53,36
t0012463,71,M,1,0,1,8756,219,51,11
t0007204,63,F,1,0,1,9164,229,21,0
t0008056,76,F,1,0,1,10183,255,53,2
t0008179,75,M,1,0,1,9260,232,12,0
t0008137,66,M,1,0,1,9164,229,50,8
t0013845,85,F,1,0,1,10364,259,50,2
t0011671,68,F,1,0,1,7700,193,51,9
t0008139,60,F,1,0,1,9416,236,76,50
t0007213,67,F,1,0,1,8660,217,68,41
t0014708,63,M,1,0,1,11912,298,50,18
t0014645,60,M,1,0,1,9168,229,62,7
t0023747,57,M,1,0,1,9164,229,22,1
t0014414,63,M,1,0,1,9387,235,57,21
t0013592,72,M,1,0,1,9309,233,53,3
t0007138,81,F,1,0,1,10400,260,51,12
t0015470,90,F,1,0,1,9260,232,50,4
t0016112,68,M,1,0,1,9404,235,46,11
t0007170,86,M,1,0,1,11888,297,50,24
t0012476,57,M,1,0,1,9164,229,58,27
t0023968,53,M,1,0,1,1800,50,31,10
t0010854,62,F,1,0,1,9404,235,50,1
t0007128,71,F,1,0,1,9260,232,75,18
t0011328,61,M,1,0,1,9168,229,50,1
t0013264,57,F,1,0,1,9464,237,51,30
t0012812,66,M,1,0,1,10748,269,50,4
t0015845,55,M,1,0,1,9143,229,56,0
t0037560,63,M,1,0,1,9236,231,18,0
t0007987,71,M,1,0,1,8108,203,50,9
t0008200,58,F,1,0,1,10244,256,68,2
t0012529,63,F,1,0,1,8996,225,50,4
t0008202,65,F,1,0,1,9230,231,52,15
t0007135,77,M,1,0,1,12655,317,50,1
t0012579,67,M,1,0,1,9787,245,53,28
t0007842,61,F,1,0,1,9608,240,50,7
t0024271,62,M,1,0,1,9404,235,30,0
t0012524,66,M,1,0,1,10995,275,57,37
t0007814,67,M,1,0,1,14396,360,61,20
t0007548,75,M,1,0,1,9404,235,50,3
t0013233,60,F,1,0,1,10172,254,50,27
t0008077,69,F,1,0,1,32099,0,51,0
t0013337,59,F,2,0,1,14237,356,52,0
t0015711,58,F,1,0,1,7428,186,50,1
t0014626,56,M,1,0,1,600,50,50,3
t0007883,61,F,1,0,1,8790,220,59,6
t0014789,62,F,1,0,1,9164,229,50,0
t0013234,60,M,1,0,1,9164,229,50,1
t0008029,65,M,1,0,1,8629,216,65,5
t0007991,77,M,1,0,1,11482,287,50,0
t0014793,58,M,1,0,1,9164,229,50,1
t0011804,59,M,1,0,1,9404,235,49,18
t0016624,63,M,1,0,1,9164,229,41,1
t0014519,55,M,1,0,1,24943,624,65,40
t0007528,66,F,1,0,1,11626,291,50,0
t0012092,61,M,1,0,1,1200,50,55,27
t0007178,78,F,1,0,1,7387,185,50,0
t0015783,63,F,1,0,1,896,50,53,3
t0015286,68,M,1,0,1,14037,351,50,1
t0024322,54,M,1,0,1,9176,230,29,15
t0007536,66,F,1,0,1,9802,245,50,2
t0007898,86,F,1,0,1,12321,308,56,0
t0014197,57,F,1,0,1,9636,241,55,29
t0012462,69,F,1,0,1,9260,232,57,18
t0007774,66,F,1,0,1,12188,305,50,1
t0013614,67,M,1,0,1,13054,326,56,2
t0007895,71,M,1,0,1,9164,229,50,7
t0012480,57,M,1,0,1,9164,229,50,3
t0025447,64,M,1,0,1,14996,375,22,9
t0024180,61,M,1,0,1,10016,251,29,6
t0002055,58,F,1,0,1,1620,50,63,16
t0014216,67,M,1,0,1,9164,229,55,43
t0016186,67,F,1,0,1,9404,235,45,2
t0007151,67,F,1,0,1,9780,245,50,17
t0011052,72,F,1,0,1,11983,264,51,5
t0011051,81,F,1,0,1,9236,195,50,2
t0011783,67,F,1,0,2,9248,162,50,3
t0015785,56,M,1,0,1,14132,317,50,23
t0016908,26,F,1,0,1,1200,14,44,14
t0015782,56,F,1,0,1,8456,176,56,0
t0007910,41,F,1,0,1,600,14,50,0
t0011031,63,F,1,0,1,9404,199,50,5
